Date,Open,High,Low,Close,Volume,"Up","Down","RSI(14)"
04/19/2021,719.6,725.4,691.8001,714.63,39686226,39686226,,53.336316584062025
04/16/2021,728.65,749.41,724.6,739.78,27979526,27979526,,58.29512911204821
04/15/2021,743.1,743.69,721.3099,738.85,27848900,27848900,,58.16156481630711
04/14/2021,770.7,780.79,728.03,732.23,49017434,49017434,,57.25674618506109
04/13/2021,712.7,763,710.66,762.32,44652808,44652808,,63.00798217331813
04/12/2021,685.7,704.8,682.09,701.98,29135670,29135670,,54.49716130441856
04/09/2021,677.77,680.97,669.4299,677.02,21437087,21437087,,50.08613976447691
04/08/2021,677.38,689.5499,671.645,683.8,23924329,23924329,,51.341503857989565
04/07/2021,687,691.38,667.84,670.97,26309433,26309433,,49.09976938328461
04/06/2021,690.3,696.55,681.37,691.62,28271839,28271839,,52.7305185540187
04/05/2021,707.71,708.16,684.7,691.05,41842767,41842767,,52.640756730807034
04/01/2021,688.37,692.4203,659.42,661.75,35298378,35298378,,47.92025982396322
03/31/2021,646.62,672,641.11,667.9299,33337288,33337288,,48.8743582396625
03/30/2021,601.75,637.66,591.01,635.62,39432359,39432359,,43.40381226857792
03/29/2021,615.64,616.48,596.02,611.29,28636985,28636985,,38.82688163191514
03/26/2021,641.87,643.82,599.89,618.71,33852827,33852827,,39.736917349916396
03/25/2021,613,645.5,609.5,640.39,39224850,39224850,,42.43543507443847
03/24/2021,667.91,668.02,630.11,630.27,33795174,33795174,,40.68961950049211
03/23/2021,675.77,677.8,657.51,662.16,30491870,30491870,,44.65217219968326
03/22/2021,684.59,699.62,668.75,670,39512221,39512221,,45.667426459922666
03/19/2021,646.6,657.23,624.6201,654.87,42893978,42893978,,43.35963559229286
03/18/2021,684.29,689.23,652,653.16,33369022,33369022,,43.10602056416357
03/17/2021,656.87,703.73,651.01,701.8099,40372453,40372453,,48.88914513175403
03/16/2021,703.35,707.92,671,676.88,32195672,32195672,,45.403841641343504
03/15/2021,694.09,713.1799,684.04,707.94,29423479,29423479,,49.292546110768356
03/12/2021,670,694.88,666.1394,693.73,33583840,33583840,,47.37790025712542
03/11/2021,699.4,702.5,677.1799,699.6,36253892,36253892,,48.074186696083224
03/10/2021,700.3,717.85,655.0599,668.0599,60605672,60605672,,43.96545013707164
03/09/2021,608.1799,678.09,595.21,673.58,67523328,67523328,,44.53818911457025
03/08/2021,600.55,620.125,558.79,563,51786958,51786958,,26.80043270081415
03/05/2021,626.0599,627.8419,539.49,597.95,89396459,89396459,,29.576551787316678
03/04/2021,655.8,668.45,600,621.44,65919530,65919530,,31.620732899334115
03/03/2021,687.99,700.7,651.705,653.2,30207960,30207960,,34.62527168387111
