Date,Open,High,Low,Close,Volume
04/15/2011,11.903571,11.915714,11.671428,11.695,453676580
04/14/2011,11.957142,12,11.859285,11.872142,301936236
04/13/2011,11.965,12.005,11.875714,12.004642,346259900
04/12/2011,11.803214,11.918928,11.792857,11.871428,426189204
04/11/2011,11.930714,11.988214,11.786428,11.814285,399002940
04/08/2011,12.14,12.148214,11.926785,11.966428,377167000
04/07/2011,12.075,12.158214,12.001071,12.074285,373314312
04/06/2011,12.186428,12.282142,12.040714,12.072857,402161816
04/05/2011,12.035357,12.223214,12,12.103214,482879852
04/04/2011,12.296785,12.307142,12.085714,12.185357,460675236
04/01/2011,12.539642,12.556685,12.260714,12.305714,418352368
03/31/2011,12.37,12.492857,12.359285,12.446696,274021580
03/30/2011,12.522857,12.531428,12.408571,12.451071,329185220
03/29/2011,12.416428,12.534285,12.359285,12.534285,352765616
03/28/2011,12.6125,12.654285,12.515714,12.515714,309125880
03/25/2011,12.431071,12.573571,12.393571,12.555,448775572
03/24/2011,12.208928,12.357142,12.102142,12.320357,404636008
03/23/2011,12.117142,12.150714,11.998214,12.113928,372867768
03/22/2011,12.234285,12.236428,12.112142,12.185714,326008368
03/21/2011,11.999642,12.133571,11.973571,12.117857,413145768
03/18/2011,12.040357,12.078571,11.785714,11.809642,752815224
03/17/2011,12.029642,12.128928,11.809271,11.951428,658800212
03/16/2011,12.214285,12.25,11.652142,11.786071,1153741792
03/15/2011,12.217857,12.422857,12.146428,12.336785,720460132
03/14/2011,12.613571,12.731585,12.546785,12.627142,436083928
03/11/2011,12.333214,12.582857,12.321428,12.571071,470777972
03/10/2011,12.468571,12.491785,12.317857,12.381071,507869012
03/09/2011,12.6675,12.67,12.521428,12.588214,453398176
03/08/2011,12.675357,12.764285,12.580357,12.705714,356098064
03/07/2011,12.907142,12.916785,12.546785,12.691428,545848772
03/04/2011,12.859642000000001,12.8675,12.776785,12.857142,453151216
03/03/2011,12.756785,12.849642,12.711428,12.841428,500326316
03/02/2011,12.498571,12.655357,12.442857,12.575714,602106316
03/01/2011,12.695357,12.704285,12.417178,12.475357,455784812
02/28/2011,12.544285,12.680357,12.54,12.614642,402655484
02/25/2011,12.330714,12.443928,12.314285,12.434285,379768144
02/24/2011,12.286428,12.326785,12.084642,12.245714,499743580
02/23/2011,12.098928,12.308571,12.093214,12.236428,671571488
02/22/2011,12.219642,12.335714,12.061428,12.093214,871745700
02/18/2011,12.811071,12.839285,12.482857,12.52,815410344
02/17/2011,12.758928000000001,12.866785,12.732857,12.796428,529832604
02/16/2011,12.885714,13.032142,12.875,12.968928,479154032
02/15/2011,12.828214,12.856071,12.769642,12.853571,283795736
02/14/2011,12.7425,12.838571,12.739642,12.827857,310191728
02/11/2011,12.669735,12.778571,12.626432,12.744642,367334044
02/10/2011,12.763928,12.857142,12.428571,12.662142,928061260
02/09/2011,12.685357,12.821428000000001,12.673928,12.791428,482347572
02/08/2011,12.631428,12.697142,12.576785,12.685714,380315600
02/07/2011,12.424642,12.616071,12.415714,12.567142,484600788
02/04/2011,12.272857,12.382142,12.268214,12.375,321610856
02/03/2011,12.278571,12.294285,12.091071,12.265714,393476272
02/02/2011,12.301785,12.330357,12.269642,12.297142000000001,258744752
02/01/2011,12.189285,12.344642,12.177857,12.3225,426292888
01/31/2011,11.992857,12.144285,11.939285,12.118571,376972232
01/28/2011,12.291785,12.3,11.911714,12.003571,591528588
01/27/2011,12.277857000000001,12.310457,12.243964,12.2575,284800320
01/26/2011,12.248571,12.342857,12.196428,12.280357,506549596
01/25/2011,12.011785,12.194285,11.948928,12.192857,546564088
01/24/2011,11.673928,12.051785,11.668571,12.051785,574235928
01/21/2011,11.920357,11.96,11.665357,11.668571,754113836
01/20/2011,12.015357,12.082142,11.79,11.881428,764470840
01/19/2011,12.441071,12.45,12.031428,12.101428,1134799092
01/18/2011,11.768571,12.312946,11.642857,12.166071,1876275408
01/14/2011,12.353214,12.445714,12.301428,12.445714,308276192
01/13/2011,12.327142,12.38,12.280357,12.345714,297393068
01/12/2011,12.258928,12.301071,12.214285,12.300714,302244936
01/11/2011,12.317142,12.32,12.123928,12.201428,443480044
01/10/2011,12.101071,12.258214,12.041785,12.230535,448298788
01/07/2011,11.928214,12.0125,11.853571,12.004285,311378816
01/06/2011,11.954285,11.973214,11.889285,11.918928,300124524
01/05/2011,11.769642,11.940714,11.767857,11.928571,255174108
01/04/2011,11.872857,11.875,11.719642,11.831785,309123164
01/03/2011,11.63,11.795,11.601303,11.770357,444871980
12/31/2010,11.533928,11.552857,11.475357,11.52,193356408
12/30/2010,11.624285,11.625357,11.5375,11.559285,157563896
12/29/2010,11.650714,11.658928,11.610714,11.6175,163190468
12/28/2010,11.639642,11.666428,11.609285,11.623928,175771428
12/27/2010,11.530357,11.622857,11.482857,11.595714,249543280
12/23/2010,11.607142,11.6125,11.541785,11.557142,223285188
12/22/2010,11.584285,11.632857,11.555357,11.612857,265981604
12/21/2010,11.535714,11.585357,11.501785,11.57875,256102056
12/20/2010,11.485714,11.544642,11.365357,11.5075,385004760
12/17/2010,11.486785,11.4925,11.436785,11.450357,387071412
12/16/2010,11.4675,11.521785,11.432142,11.473214,321688808
12/15/2010,11.428571,11.535714,11.399642,11.441428,416355800
12/14/2010,11.490357,11.519285,11.392857,11.438928,351431948
12/13/2010,11.584642,11.609285,11.464285,11.488214,439233340
12/10/2010,11.416071,11.466071,11.378571,11.448571,262520720
12/09/2010,11.504703,11.517857,11.393571,11.41991,293870836
12/08/2010,11.415357,11.465,11.325357,11.464642,321227144
12/07/2010,11.564285,11.571071,11.361428,11.364642,390510400
12/06/2010,11.38,11.511785,11.372142,11.433928,447053516
12/03/2010,11.321785,11.380357,11.297857,11.337142,342229916
12/02/2010,11.340357000000001,11.392857,11.246071,11.3625,462988904
12/01/2010,11.259642,11.348214,11.25,11.3,460349848
11/30/2010,11.197857,11.227142,11.1025,11.1125,501416440
11/29/2010,11.267857,11.338571,11.120714,11.316785,445267592
11/26/2010,11.205,11.346425,11.176428,11.25,237744948
11/24/2010,11.142857,11.264285,11.133928,11.242678,413922404
11/23/2010,11.0875,11.133928,10.948571,11.026071,519151808
11/22/2010,10.952857,11.191428,10.923928,11.191428,392457352
11/19/2010,10.998928,11.014285,10.901428,10.954642,384685812
11/18/2010,10.9,11.059642,10.881785,11.015357,493637872
11/17/2010,10.757142,10.856785,10.634285,10.732142,479076388
11/16/2010,10.918571,10.985714,10.69,10.771071,658106400
11/15/2010,11.016428,11.090714,10.938214,10.965535,403102336
11/12/2010,11.285714,11.303571,10.843928,11.001071,795512844
11/11/2010,11.25,11.371428,11.223214,11.309107000000001,361034016
11/10/2010,11.308571,11.384642,11.198214,11.358214,382925088
11/09/2010,11.466071,11.475,11.232142,11.288571,383314960
11/08/2010,11.328571,11.420364,11.312857,11.379285,280596372
11/05/2010,11.356785,11.413214,11.3125,11.326071,360892728
11/04/2010,11.266071,11.435,11.251071,11.366785,640899476
11/03/2010,11.120357,11.174285,11.018928,11.171428,507856692
11/02/2010,10.964285,11.078214,10.964285,11.048571,432238128
11/01/2010,10.793571,10.914285,10.792857,10.863571,422943500
10/29/2010,10.865357,10.924285,10.745357,10.749285,429705388
10/28/2010,10.998214,11,10.746428,10.901428,549207400
10/27/2010,10.9875,11.067857,10.914285,10.993928,396996488
10/26/2010,10.959642,11.062142,10.916071,11.001785,390868044
10/25/2010,11.038928,11.128571,11.015714,11.03,387227176
10/22/2010,11.038214,11.072857,10.939285,10.981071,371303772
10/21/2010,11.155714,11.240714,10.957142,11.054285,547934016
10/20/2010,11.035714,11.223214,10.959642,11.090357,719571692
10/19/2010,10.835714,11.206071,10.715,11.053214,1230741540
10/18/2010,11.373928,11.392857,11.224642,11.357142,1100142512
10/15/2010,10.98,11.25,10.889642,11.240714,921326000
10/14/2010,10.774642,10.8025,10.728571,10.796785,434820680
10/13/2010,10.721428,10.784285,10.707142,10.719285,622733104
10/12/2010,10.550357,10.696428000000001,10.446071,10.662142,557726736
10/11/2010,10.526428,10.615714,10.521428,10.548571,427615972
10/08/2010,10.418214,10.517857,10.357142,10.5025,657996444
10/07/2010,10.369285,10.374285,10.246785,10.329285,408150932
10/06/2010,10.3425,10.428214,10.187857,10.328214,670264168
10/05/2010,10.071428,10.3375,10.065017,10.319285,501240068
10/04/2010,10.057142,10.103571,9.920357,9.951428,435132992
10/01/2010,10.219642,10.235,10.048214,10.09,448355208
09/30/2010,10.321428,10.357142,10.044642,10.133928,673037932
09/29/2010,10.258214,10.350357,10.214285,10.263214,469376432
09/28/2010,10.420357,10.420357,9.821428000000001,10.245,1034637772
09/27/2010,10.499107,10.526071,10.393214,10.398714,482825308
09/24/2010,10.432142,10.483214,10.376785,10.44,648906888
09/23/2010,10.226071,10.455714,10.214285,10.318571,785535996
09/22/2010,10.096785,10.285,10.086071,10.276785,585270196
09/21/2010,10.137857,10.2625,10.099642,10.134642,669225088
09/20/2010,9.86,10.135,9.851785,10.115357,658949872
09/17/2010,9.9175,9.927142,9.774285,9.834642,634224416
09/16/2010,9.651428,9.881071,9.625,9.8775,651352128
09/15/2010,9.5775,9.656428,9.565714,9.650714,427969556
09/14/2010,9.5075,9.613214,9.482857,9.573571,407640716
09/13/2010,9.493571,9.581428,9.491427999999999,9.537142,388655092
09/10/2010,9.399642,9.446428,9.335714,9.4075,387651068
09/09/2010,9.465714,9.518571,9.39,9.395357,438222540
